R [[-6.238800734324961, 10.72803623310492, 4.6630171304189325, -11.678995092462209, -2.4082858782382086, -1.0211147152184985, 4.706127082712619, -3.1557529710284236, -5.238255432886566]]|[[-6.238800734324961, 10.72803623310492, 4.6630171304189325, -11.678995092462209, -2.4082858782382086, -1.0211147152184985, 4.706127082712619, -3.1557529710284236, -5.238255432886566]]|[[-6.238800734324961, 10.72803623310492, 4.6630171304189325, -11.678995092462209, -2.4082858782382086, -1.0211147152184985, 4.706127082712619, -3.1557529710284236, -5.238255432886566]]
R [[5.200427957459475, 2.5453227952078414, -3.475641580531379, 2.0971216550451537, 11.169141103269048, 11.264060425827012, -11.14704350382231, 2.182609096330772, -3.7379910529675797]]|[[5.200427957459475, 2.5453227952078414, -3.475641580531379, 2.0971216550451537, 11.169141103269048, 11.264060425827012, -11.14704350382231, 2.182609096330772, -3.7379910529675797]]|[[5.200427957459475, 2.5453227952078414, -3.475641580531379, 2.0971216550451537, 11.169141103269048, 11.264060425827012, -11.14704350382231, 2.182609096330772, -3.7379910529675797]]
R [[9.439978209309704, -10.0165140997919, 9.971346033293738, -9.070579354161005, 11.616877395442934, 8.179730094170754, -10.24872050510136, 0.5787136192771811, 7.581954245033913]]|[[9.439978209309704, -10.0165140997919, 9.971346033293738, -9.070579354161005, 11.616877395442934, 8.179730094170754, -10.24872050510136, 0.5787136192771811, 7.581954245033913]]|[[9.439978209309704, -10.0165140997919, 9.971346033293738, -9.070579354161005, 11.616877395442934, 8.179730094170754, -10.24872050510136, 0.5787136192771811, 7.581954245033913]]
R [[10.815092955622443, -3.747730877936963, 0.6154964931006894, -9.075284222079432, 7.745455917123664, -10.721093072212922, 7.215108156552695, 9.122132646385754, -4.439169428434938]]|[[10.815092955622443, -3.747730877936963, 0.6154964931006894, -9.075284222079432, 7.745455917123664, -10.721093072212922, 7.215108156552695, 9.122132646385754, -4.439169428434938]]|[[10.815092955622443, -3.747730877936963, 0.6154964931006894, -9.075284222079432, 7.745455917123664, -10.721093072212922, 7.215108156552695, 9.122132646385754, -4.439169428434938]]
R [[-11.208826156368998, 3.136933321661875, -4.560029346770093, -6.584043115431486, -9.942472293980455, -8.733292026942017, 4.026163539652266, 7.887933158348005, 4.53754945749861]]|[[-11.208826156368998, 3.136933321661875, -4.560029346770093, -6.584043115431486, -9.942472293980455, -8.733292026942017, 4.026163539652266, 7.887933158348005, 4.53754945749861]]|[[-11.208826156368998, 3.136933321661875, -4.560029346770093, -6.584043115431486, -9.942472293980455, -8.733292026942017, 4.026163539652266, 7.887933158348005, 4.53754945749861]]
R [[-9.739093009501065, 0.6095771771630929, -0.9781439648863817, -6.553223638031884, 8.939749132952272, 5.300510066088599, 2.9531542876748667, -1.6153497423300163, 6.859237503731137]]|[[-9.739093009501065, 0.6095771771630929, -0.9781439648863817, -6.553223638031884, 8.939749132952272, 5.300510066088599, 2.9531542876748667, -1.6153497423300163, 6.859237503731137]]|[[-9.739093009501065, 0.6095771771630929, -0.9781439648863817, -6.553223638031884, 8.939749132952272, 5.300510066088599, 2.9531542876748667, -1.6153497423300163, 6.859237503731137]]
R [[-2.320117023171754, 11.996501421272647, -11.77287745234592, -8.340671427123167, 2.129401099182598, -0.664634680700555, 10.363802595876184, -4.823094412318883, -8.856434579908168]]|[[-2.320117023171754, 11.996501421272647, -11.77287745234592, -8.340671427123167, 2.129401099182598, -0.664634680700555, 10.363802595876184, -4.823094412318883, -8.856434579908168]]|[[-2.320117023171754, 11.996501421272647, -11.77287745234592, -8.340671427123167, 2.129401099182598, -0.664634680700555, 10.363802595876184, -4.823094412318883, -8.856434579908168]]
R [[0.3812116302425146, 1.6888465167337685, 3.228850631191218, -5.572827557846737, 10.34192123970097, 9.229727670136278, 6.618288176568047, -11.969057760015065, 1.6596629051805856]]|[[0.3812116302425146, 1.6888465167337685, 3.228850631191218, -5.572827557846737, 10.34192123970097, 9.229727670136278, 6.618288176568047, -11.969057760015065, 1.6596629051805856]]|[[0.3812116302425146, 1.6888465167337685, 3.228850631191218, -5.572827557846737, 10.34192123970097, 9.229727670136278, 6.618288176568047, -11.969057760015065, 1.6596629051805856]]
R [[1.830839814567124, 0.24210258654400718, 11.86113884111915, 1.16289800306415, -4.4635332249013695, 10.885674769337644, -9.255114322363818, 3.683098178786615, -1.8096172540364428]]|[[1.830839814567124, 0.24210258654400718, 11.86113884111915, 1.16289800306415, -4.4635332249013695, 10.885674769337644, -9.255114322363818, 3.683098178786615, -1.8096172540364428]]|[[1.830839814567124, 0.24210258654400718, 11.86113884111915, 1.16289800306415, -4.4635332249013695, 10.885674769337644, -9.255114322363818, 3.683098178786615, -1.8096172540364428]]
R [[5.716615070810569, 11.144163168101699, 9.705557962146091, -7.15027937560608, -10.38385011328901, -3.077181286225363, 2.5442331478092193, 1.8492244253050352, 3.311150292305438]]|[[5.716615070810569, 11.144163168101699, 9.705557962146091, -7.15027937560608, -10.38385011328901, -3.077181286225363, 2.5442331478092193, 1.8492244253050352, 3.311150292305438]]|[[5.716615070810569, 11.144163168101699, 9.705557962146091, -7.15027937560608, -10.38385011328901, -3.077181286225363, 2.5442331478092193, 1.8492244253050352, 3.311150292305438]]
